,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,full_address
11443,14,1994,1,1,0,0,0,0,104,0,0,0,65,39,0,0,0,0,0,0,0,853 JURONG WEST ST 81 Singapore
11444,12,1985,1,0,0,0,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,853 TAMPINES ST 83 Singapore
11445,12,1985,1,1,0,1,0,0,110,0,0,0,110,0,0,0,0,0,0,0,0,853 WOODLANDS ST 83 Singapore
11446,11,1987,1,0,0,0,0,0,120,0,0,60,60,0,0,0,0,0,0,0,0,853 YISHUN RING RD Singapore
11447,10,1994,1,1,0,0,0,0,101,0,0,0,74,27,0,0,0,0,0,0,0,854 JURONG WEST ST 81 Singapore
11448,12,1985,1,0,0,1,0,0,110,0,0,66,44,0,0,0,0,0,0,0,0,854 TAMPINES ST 82 Singapore
11449,12,1985,1,0,0,0,0,0,114,0,0,0,114,0,0,0,0,0,0,0,0,854 WOODLANDS ST 83 Singapore
11450,12,1987,1,0,0,1,0,0,66,0,0,0,35,31,0,0,0,0,0,0,0,854 YISHUN RING RD Singapore
11451,5,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854A JURONG WEST ST 81 Singapore
11452,14,1994,1,0,0,0,0,0,66,0,0,0,27,39,0,0,0,0,0,0,0,855 JURONG WEST ST 81 Singapore
11453,11,1986,1,1,0,1,0,0,124,0,0,0,72,52,0,0,0,0,0,0,0,855 TAMPINES ST 83 Singapore
11454,12,1985,1,0,0,1,0,0,136,0,0,0,136,0,0,0,0,0,0,0,0,855 WOODLANDS ST 83 Singapore
11455,10,1987,1,0,0,1,0,0,99,0,0,0,53,46,0,0,0,0,0,0,0,855 YISHUN RING RD Singapore
11456,1,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,855A JURONG WEST ST 81 Singapore
11457,14,1994,1,0,0,0,0,0,103,0,0,0,78,25,0,0,0,0,0,0,0,856 JURONG WEST ST 81 Singapore
11458,11,1985,1,1,0,1,0,0,124,0,0,0,72,52,0,0,0,0,0,0,0,856 TAMPINES ST 82 Singapore
11459,11,1994,1,0,0,0,0,0,73,0,0,0,53,20,0,0,0,0,0,0,0,856 WOODLANDS ST 83 Singapore
11460,5,1993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856A TAMPINES ST 82 Singapore
11461,16,1994,1,0,0,0,0,0,78,0,0,0,0,0,78,0,0,0,0,0,0,856B TAMPINES ST 82 Singapore
11462,16,1994,1,0,0,0,0,0,80,0,0,0,0,0,80,0,0,0,0,0,0,856C TAMPINES ST 82 Singapore
11463,15,1993,1,0,0,0,0,0,76,0,0,0,0,0,76,0,0,0,0,0,0,856D TAMPINES ST 82 Singapore
